PLAYER_ID,PLAYER_NAME,OVERALL_TOTAL_SCORE,OVERALL_ROUNDS_PLAYED,OVERALL_GAMES_PLAYED,OVERALL_ACCURACY,OVERALL_AVERAGE_GAME_SCORE,OVERALL_HIGHEST_HEDGE_STREAK,OVERALL_AVERAGE_HEDGE_STREAK,OVERALL_MEDIAN_GAME_SCORE,OVERALL_MEDIAN_ROUND_SCORE,NM_TOTAL_SCORE,NM_ROUNDS_PLAYED,NM_GAMES_PLAYED,NM_ACCURACY,NM_HIGHEST_HEDGE_STREAK,NM_AVERAGE_HEDGE_STREAK,NM_AVG_GAME_SCORE,NM_MEDIAN_GAME_SCORE,NMPZ_TOTAL_SCORE,NMPZ_ROUNDS_PLAYED,NMPZ_GAMES_PLAYED,NMPZ_ACCURACY,NMPZ_HIGHEST_HEDGE_STREAK,NMPZ_AVERAGE_HEDGE_STREAK,NMPZ_AVG_GAME_SCORE,NMPZ_MEDIAN_GAME_SCORE
601ab5166d405900012c6669,Matteo Kinkela,150345,100,20,0.30069,7517,0,0,7418,1274.5,150345,100,20,0.30069,0,0,7517.25,7418,,,,,,,,
601f1d75228a5e00019741e1,davedavedave,1300237,485,97,0.536180206185567,13404,1,1,13928,3055,874296,300,60,0.582864,1,1,14571.6,14910,425941,185,37,0.46047675675675676,0,0,11511.918918918918,12500
602099d9d7d2210001491973,Bog,4110,5,1,0.1644,4110,0,0,4110,467,,,,,,,,,4110,5,1,0.1644,0,0,4110,4110
60254c17b8832e000134884b,jason543,418704,160,32,0.52338,13084,1,1,13223.5,2575.5,418704,160,32,0.52338,1,1,13084.5,13223.5,,,,,,,,
602c2727cf4011000175b4ee,morica,750184,305,61,0.4919239344262295,12298,1,1,12354,2484,608776,240,48,0.5073133333333333,1,1,12682.833333333334,13059,141408,65,13,0.4351015384615385,0,0,10877.538461538461,10848
603b1b0d5cdb1b0001bbf19e,Moo,20822,5,1,0.83288,20822,1,1,20822,4408,20822,5,1,0.83288,1,1,20822,20822,,,,,,,,
603cd68ed3dc740001d9dc4b,devens,135512,55,11,0.4927709090909091,12319,0,0,12356,2393,135512,55,11,0.4927709090909091,0,0,12319.272727272728,12356,,,,,,,,
603e28ef0297940001b93db1,fatslump(washed),70133,25,5,0.561064,14026,0,0,14499,3062,70133,25,5,0.561064,0,0,14026.6,14499,,,,,,,,
603ea83990c952000180974c,TabBluu.,340127,105,21,0.6478609523809524,16196,2,1.33,15774,3537,340127,105,21,0.6478609523809524,2,1.33,16196.52380952381,15774,,,,,,,,
60423e2590c952000182b4a0,Pigeon,1962025,610,122,0.6432868852459016,16082,1,1,16077.5,3675.5,1442208,430,86,0.6707944186046512,1,1,16769.86046511628,17096,519817,180,36,0.5775744444444444,1,1,14439.361111111111,14411.5
6053be97302f9500010c3c4c,marcel,33434,20,4,0.33434,8358,0,0,8046.5,1519,33434,20,4,0.33434,0,0,8358.5,8046.5,,,,,,,,
6056fd798ddd1c00018baf23,Trabota,1662736,450,90,0.7389937777777777,18474,3,1.32,18827.5,4185.5,1662736,450,90,0.7389937777777777,3,1.32,18474.844444444443,18827.5,,,,,,,,
605b1842045b9e0001837397,brunooo_ooo,2849272,990,198,0.575610505050505,14390,2,1.09,14323,3181,2091322,700,140,0.5975205714285714,2,1.11,14938.014285714286,14729,757950,290,58,0.5227241379310344,1,1,13068.103448275862,12583.5
6060aef763c4b80001aae836,Jasper,134419,95,19,0.28298736842105265,7074,0,0,7507,947,134419,95,19,0.28298736842105265,0,0,7074.684210526316,7507,,,,,,,,
6061d595010c4e000197240f,bakonysanchez,77891,40,8,0.389455,9736,0,0,9739.5,1796,77891,40,8,0.389455,0,0,9736.375,9739.5,,,,,,,,
606402814f3a8e00016f860e,Dyll,104000,50,10,0.416,10400,0,0,10484,1705.5,104000,50,10,0.416,0,0,10400,10484,,,,,,,,
606a0edba9cfc800017a0f46,S Ricciardi,54332,25,5,0.434656,10866,0,0,10097,1950,54332,25,5,0.434656,0,0,10866.4,10097,,,,,,,,
607334e1fec6f00001f676a2,hoki,45804,20,4,0.45804,11451,0,0,13099.5,2184.5,45804,20,4,0.45804,0,0,11451,13099.5,,,,,,,,
60806a19bafa9b000125bcc7,malfunctionn,791557,320,64,0.494723125,12368,1,1,11921.5,2744.5,542803,220,44,0.49345727272727274,0,0,12336.431818181818,11921.5,248754,100,20,0.497508,1,1,12437.7,12102.5
608168d3f5fe530001aec797,kaiser,1177680,735,147,0.3204571428571429,8011,0,0,7837,1266,844485,535,107,0.31569532710280374,0,0,7892.383177570094,7312,333195,200,40,0.333195,0,0,8329.875,8914.5
608513f3eb35e60001fa2633,cry about it,43448,15,3,0.5793066666666666,14482,0,0,17101,3258,,,,,,,,,43448,15,3,0.5793066666666666,0,0,14482.666666666666,17101
60859c21128efc0001559603,antidotess,858551,300,60,0.5723673333333333,14309,1,1,13724.5,3184,313924,100,20,0.627848,1,1,15696.2,15377.5,544627,200,40,0.544627,1,1,13615.675,13174.5
6098f58ffac408000119da5a,Cassa,743102,535,107,0.27779514018691587,6944,0,0,6785,994,595717,435,87,0.2738928735632184,0,0,6847.3218390804595,6641,147385,100,20,0.29477,0,0,7369.25,7621.5
60995f8f8eb3fe0001e057c2,Starc,452063,185,37,0.48871675675675674,12217,1,1,12131,2674,431005,170,34,0.507064705882353,1,1,12676.617647058823,12859.5,21058,15,3,0.2807733333333333,0,0,7019.333333333333,8235
60a55176895a250001d9e2d8,emshanoff,1785135,480,96,0.74380625,18595,4,1.94,19084,4192,1755586,470,94,0.7470578723404255,4,1.94,18676.44680851064,19146,29549,10,2,0.59098,0,0,14774.5,14774.5
60ab9a9195cb750001fb3b69,stepanartt,239399,85,17,0.5632917647058824,14082,1,1,14160,3140,164440,60,12,0.5481333333333334,1,1,13703.333333333334,13248,74959,25,5,0.599672,0,0,14991.8,14469
60b1162519261200015e3ca2,John Harvey Kellogg,110866,35,7,0.63352,15838,0,0,15982,3600,32542,10,2,0.65084,0,0,16271,16271,78324,25,5,0.626592,0,0,15664.8,15982
60bcbc7bf9c48d00010901f5,Abyss,8967,5,1,0.35868,8967,0,0,8967,1655,,,,,,,,,8967,5,1,0.35868,0,0,8967,8967
60c5dcc9dcd637000191fd5d,VishTheFish,20699,15,3,0.27598666666666666,6899,0,0,7077,1082,20699,15,3,0.27598666666666666,0,0,6899.666666666667,7077,,,,,,,,
60df18727b07ec0001e05ece,r1czz.,216941,60,12,0.7231366666666666,18078,2,1.5,17417.5,3787,216941,60,12,0.7231366666666666,2,1.5,18078.416666666668,17417.5,,,,,,,,
60e6fefd864e960001667155,ĐɄ§ҜƦØИ,238071,100,20,0.476142,11903,0,0,11378.5,2373,,,,,,,,,238071,100,20,0.476142,0,0,11903.55,11378.5
612fc1ddd0cf470001098a99,Tanger#0350,652705,255,51,0.5119254901960785,12798,1,1,12959,2533,652705,255,51,0.5119254901960785,1,1,12798.137254901962,12959,,,,,,,,
613672d814c06f00017c58e0,tombolo,248649,100,20,0.497298,12432,0,0,13587.5,2563.5,,,,,,,,,248649,100,20,0.497298,0,0,12432.45,13587.5
6140b47f0a3a920001f0031e,Blueb,40813,15,3,0.5441733333333333,13604,0,0,12445,2993,40813,15,3,0.5441733333333333,0,0,13604.333333333334,12445,,,,,,,,
615c32f565de950001753a64,lemon,17069,5,1,0.68276,17069,0,0,17069,3627,17069,5,1,0.68276,0,0,17069,17069,,,,,,,,
61a0aa0b508e25000188294f,Ant3k,1271506,390,78,0.6520543589743589,16301,2,1.5,16647,3577.5,822277,245,49,0.6712465306122449,2,1.5,16781.163265306124,17156,449229,145,29,0.6196262068965517,0,0,15490.655172413793,16059
61e59e86ccc0f20001d33f9f,Lysol55,51952,20,4,0.51952,12988,0,0,12521,2919,51952,20,4,0.51952,0,0,12988,12521,,,,,,,,
61f63ef33d94a3000139614d,クリプトナイト,580804,220,44,0.5280036363636363,13200,1,1,13085,2975.5,291936,120,24,0.48656,1,1,12164,12352.5,288868,100,20,0.577736,1,1,14443.4,14883
6201965f19c16500017cd2ce,アキナトル,3740251,975,195,0.7672309743589744,19180,8,1.89,19594,4300,2994319,775,155,0.7727274838709678,8,1.97,19318.187096774192,19704,745932,200,40,0.745932,2,1.33,18648.3,19060
6205a2c750ff4f0001cbded7,Kround7159,4142,5,1,0.16568,4142,0,0,4142,502,,,,,,,,,4142,5,1,0.16568,0,0,4142,4142
6208f41304f54b000118a55d,Richárd Varszámisz,7101,5,1,0.28404,7101,0,0,7101,1493,7101,5,1,0.28404,0,0,7101,7101,,,,,,,,
62097f1950ff4f0001cdc748,PyloteD'Avion,12214,15,3,0.16285333333333332,4071,0,0,3662,211,8552,10,2,0.17104,0,0,4276,4276,3662,5,1,0.14648,0,0,3662,3662
