SUBDIVISION,TOTAL_OCCURRENCES,TOTAL_ROUNDS,UNIQUE_PLAYERS,AVERAGE_SCORE,SCORE_STDEV
110.84569514469464,1,95,19,3313.1684210526314,1674.4452193747582
86.01258821071067,1,80,16,3302.8875,1846.0020110616756
62.11974005128992,1,80,16,3302.8875,1846.0020110616756
40.49762438452577,1,80,16,3302.8875,1846.0020110616756
142.57906832306418,1,80,16,3302.8875,1846.0020110616756
141.9910551418798,1,80,16,3302.8875,1846.0020110616756
78.02245,1,80,16,3294,1248.9854983145322
51.58404,1,80,16,3294,1248.9854983145322
36.61619,1,80,16,3294,1248.9854983145322
34.755336,1,80,16,3294,1248.9854983145322
101.50472,1,80,16,3294,1248.9854983145322
69.15821131914439,1,125,25,3282.944,1400.8368887432973
50.02363253078484,1,125,25,3282.944,1400.8368887432973
40.46469854671928,1,125,25,3282.944,1400.8368887432973
38.15211333535004,1,125,25,3282.944,1400.8368887432973
130.64113846700474,1,125,25,3282.944,1400.8368887432973
55.60986939129356,1,95,19,3276.5894736842106,1190.75038256278
45.07659606057607,1,95,19,3276.5894736842106,1190.75038256278
42.09092381517407,1,95,19,3276.5894736842106,1190.75038256278
38.85824465538599,1,95,19,3276.5894736842106,1190.75038256278
137.4698079845397,1,95,19,3276.5894736842106,1190.75038256278
60.20782917202015,1,120,24,3259.108333333333,1689.0468110536651
57.39869533371805,1,120,24,3259.108333333333,1689.0468110536651
44.01656002950153,1,120,24,3259.108333333333,1689.0468110536651
32.917843191408636,1,120,24,3259.108333333333,1689.0468110536651
100.73513927010265,1,120,24,3259.108333333333,1689.0468110536651
51.06384,1,70,14,3227.2428571428572,1299.408353671715
44.42941,1,70,14,3227.2428571428572,1299.408353671715
43.972223,1,70,14,3227.2428571428572,1299.408353671715
41.51988,1,70,14,3227.2428571428572,1299.408353671715
36.41996,1,70,14,3227.2428571428572,1299.408353671715
59.12596428718388,1,75,15,3168.733333333333,1601.850299566793
41.08941918732543,1,75,15,3168.733333333333,1601.850299566793
21.669283615282406,1,75,15,3168.733333333333,1601.850299566793
135.0799086271684,1,75,15,3168.733333333333,1601.850299566793
104.362772752939,1,75,15,3168.733333333333,1601.850299566793
83.886626,1,85,17,3135.9882352941177,1552.5601891836793
69.8851,1,85,17,3135.9882352941177,1552.5601891836793
61.27882,1,85,17,3135.9882352941177,1552.5601891836793
56.63324,1,85,17,3135.9882352941177,1552.5601891836793
158.08803,1,85,17,3135.9882352941177,1552.5601891836793
Qostanay,1,145,29,3134.848275862069,1426.6008567801969
Aqtöbe,1,105,21,3106.133333333333,1392.5043289095179
72.47421045705835,1,85,17,3086.364705882353,1496.8387381966331
39.49249982124272,1,85,17,3086.364705882353,1496.8387381966331
34.16122193940546,1,85,17,3086.364705882353,1496.8387381966331
33.81412892539124,1,85,17,3086.364705882353,1496.8387381966331
104.4460854140469,1,85,17,3086.364705882353,1496.8387381966331
53.61769464443323,1,95,19,3081.0947368421052,1554.3893712132492
45.05260575398084,1,95,19,3081.0947368421052,1554.3893712132492
41.06278558487578,1,95,19,3081.0947368421052,1554.3893712132492
38.41922990351853,1,95,19,3081.0947368421052,1554.3893712132492
32.06178056810916,1,95,19,3081.0947368421052,1554.3893712132492
82.56073,1,140,28,3067.4928571428572,1685.6421900291068
43.18599,1,140,28,3067.4928571428572,1685.6421900291068
36.008752,1,140,28,3067.4928571428572,1685.6421900291068
20.21472,1,140,28,3067.4928571428572,1685.6421900291068
103.824725,1,140,28,3067.4928571428572,1685.6421900291068
73.45829909887236,1,95,19,3049.221052631579,1530.7369960694537
52.64583997472642,1,95,19,3049.221052631579,1530.7369960694537
39.740162541061764,1,95,19,3049.221052631579,1530.7369960694537
37.80845322205445,1,95,19,3049.221052631579,1530.7369960694537
32.84334538716604,1,95,19,3049.221052631579,1530.7369960694537
47.078648,1,70,14,3040.5142857142855,1562.4396376258799
44.872034,1,70,14,3040.5142857142855,1562.4396376258799
42.58053,1,70,14,3040.5142857142855,1562.4396376258799
41.53614,1,70,14,3040.5142857142855,1562.4396376258799
139.069713,1,70,14,3040.5142857142855,1562.4396376258799
91.32499906259457,1,75,15,3025.786666666667,1650.8965830185186
