PLAYER_ID,PLAYER_NAME,streak_length,start_seed_link,end_seed_link,start_test_id,start_seed_number,end_test_id,end_seed_number
5b51062a4010740f7cd91dd5,Blinky,1,https://www.geoguessr.com/challenge/F95Rnn7xIgbbmHH7,https://www.geoguessr.com/challenge/F95Rnn7xIgbbmHH7,MAR_24,16,MAR_24,16
5bf491faaac55b998458ed9a,mk,1,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,DEC_23,12,DEC_23,12
5bf491faaac55b998458ed9a,mk,1,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,MAR_24,3,MAR_24,3
5bf491faaac55b998458ed9a,mk,1,https://www.geoguessr.com/challenge/F95Rnn7xIgbbmHH7,https://www.geoguessr.com/challenge/F95Rnn7xIgbbmHH7,MAR_24,16,MAR_24,16
5c03eed1b5b94ba700403005,Finbarr,2,https://www.geoguessr.com/challenge/BsUyXDkqN9NJlqS3,https://www.geoguessr.com/challenge/jrBu97ea9sCmD90Q,DEC_23,7,DEC_23,8
5c03eed1b5b94ba700403005,Finbarr,2,https://www.geoguessr.com/challenge/Eu3QDmJavz32pcex,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,DEC_23,11,DEC_23,12
5c03eed1b5b94ba700403005,Finbarr,3,https://www.geoguessr.com/challenge/LCEvynboLXjOyucC,https://www.geoguessr.com/challenge/QZ9P7VOdnIMoArLe,DEC_23,18,DEC_23,20
5c04ec3b43196563803ba61f,V89,1,https://www.geoguessr.com/challenge/1Akh3VRAZIUF2chj,https://www.geoguessr.com/challenge/1Akh3VRAZIUF2chj,DEC_23,1,DEC_23,1
5c04ec3b43196563803ba61f,V89,1,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,DEC_23,12,DEC_23,12
5c04ec3b43196563803ba61f,V89,1,https://www.geoguessr.com/challenge/cGmLT2nn7QOIDvTX,https://www.geoguessr.com/challenge/cGmLT2nn7QOIDvTX,DEC_23,19,DEC_23,19
5c14f357ff3dc98d883d182c,[TNT] Kirania,1,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,MAR_24,3,MAR_24,3
5ddd2840db02e1948493a2a0,Illusion,2,https://www.geoguessr.com/challenge/1Akh3VRAZIUF2chj,https://www.geoguessr.com/challenge/8PqYimUGoPeOmN8a,DEC_23,1,DEC_23,2
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,https://www.geoguessr.com/challenge/Nc6B9wtMFBJWFUrT,DEC_23,12,DEC_23,12
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/TCFIWX8iERLRRUbR,https://www.geoguessr.com/challenge/TCFIWX8iERLRRUbR,DEC_23,16,DEC_23,16
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/LCEvynboLXjOyucC,https://www.geoguessr.com/challenge/LCEvynboLXjOyucC,DEC_23,18,DEC_23,18
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/FtMbgjzWhFAS6OLB,https://www.geoguessr.com/challenge/FtMbgjzWhFAS6OLB,MAR_24,2,MAR_24,2
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/d1GTdgzphcOdnQnb,https://www.geoguessr.com/challenge/d1GTdgzphcOdnQnb,MAR_24,4,MAR_24,4
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,MAR_24,8,MAR_24,8
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/wZeKLCuzOcfKg9Dl,https://www.geoguessr.com/challenge/wZeKLCuzOcfKg9Dl,MAR_24,10,MAR_24,10
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/acSLl6agdYQUyl2G,https://www.geoguessr.com/challenge/acSLl6agdYQUyl2G,MAR_24,12,MAR_24,12
5ddd2840db02e1948493a2a0,Illusion,5,https://www.geoguessr.com/challenge/waaEaMncfHxgpfEz,https://www.geoguessr.com/challenge/OIfhjPia3PYaOIsC,MAR_24,18,MAY_24,2
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/mdOwyeDKMAS1LDMZ,https://www.geoguessr.com/challenge/mdOwyeDKMAS1LDMZ,MAY_24,4,MAY_24,4
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/RVtlNlIELGt1AMev,https://www.geoguessr.com/challenge/RVtlNlIELGt1AMev,MAY_24,11,MAY_24,11
5ddd2840db02e1948493a2a0,Illusion,1,https://www.geoguessr.com/challenge/Aj1ZxLEHiQOzYr9G,https://www.geoguessr.com/challenge/Aj1ZxLEHiQOzYr9G,MAY_24,13,MAY_24,13
5ddd2840db02e1948493a2a0,Illusion,2,https://www.geoguessr.com/challenge/ia8PZ0d1XK43n1bV,https://www.geoguessr.com/challenge/kuqSFdeZMxp9ZZE1,MAY_24,16,MAY_24,17
