TEST_ID,SEED_NUMBER,SEED_LINK,SEED_MAP,SEED_TIME,SEED_MODE,ROUND_1_LAT,ROUND_1_LNG,ROUND_1_SUBDIVISION,ROUND_2_LAT,ROUND_2_LNG,ROUND_2_SUBDIVISION,ROUND_3_LAT,ROUND_3_LNG,ROUND_3_SUBDIVISION,ROUND_4_LAT,ROUND_4_LNG,ROUND_4_SUBDIVISION,ROUND_5_LAT,ROUND_5_LNG,ROUND_5_SUBDIVISION
MAR_24,11,https://www.geoguessr.com/challenge/nmNT3TOe9QIftpkr,An Arbitrary Russia,60,NMPZ,58.16767,55.01927,Perm Krai,56.277458,30.434562,Pskov Oblast,46.72723,142.51865,Sakhalin Oblast,61.93926,32.71442,Karelia,46.56715,48.26013,Astrakhan Oblast
MAR_24,12,https://www.geoguessr.com/challenge/acSLl6agdYQUyl2G,An Arbitrary Russia,60,NMPZ,53.2336,38.08139,Tula Oblast,51.55384,142.85671,Sakhalin Oblast,59.71205356705775,150.009502914835,Magadan Oblast,59.59639947764801,151.1035031437111,Magadan Oblast,61.06096,50.03918,Komi
MAR_24,13,https://www.geoguessr.com/challenge/4AJEkIcOQCXOZBd3,An Arbitrary Russia,60,NMPZ,47.32305,142.81256,Sakhalin Oblast,57.07431,34.94365,Tver Oblast,63.70656957631603,121.5060337440075,Sakha,55.082965,47.574631,Chuvash Republic,59.29729,38.22183,Vologda Oblast
MAR_24,14,https://www.geoguessr.com/challenge/vgjo9c3zCheuxsJB,An Arbitrary Russia,60,NMPZ,62.99862,76.9261,Khanty-Mansia,48.1691,46.30147,Astrakhan Oblast,55.41283,64.72809,Kurgan Oblast,57.94391,56.42004,Perm Krai,52.31429,110.48451,Buryatiya Republic
MAR_24,15,https://www.geoguessr.com/challenge/8BMENAU7QaCgzsya,An Arbitrary Russia,60,NMPZ,58.6109,49.43435,Kirov Oblast,59.61860138048952,150.8032196302769,Magadan Oblast,54.69935,82.64829,Novosibirsk Oblast,55.43603,61.29901,Chelyabinsk,52.45957,53.14686,Orenburg Oblast
MAR_24,16,https://www.geoguessr.com/challenge/F95Rnn7xIgbbmHH7,An Arbitrary Russia,60,NMPZ,51.11448,111.91604,Zabaykalskiy (Transbaikal) Kray,54.86511,73.77002,Omsk Oblast,55.6938,38.79954,Moscow Oblast,63.57196,54.06172,Komi,50.1657,88.27583,Altai
MAR_24,17,https://www.geoguessr.com/challenge/Z7V3QsHN3sV3fU1r,An Arbitrary Russia,60,NMPZ,57.14942,73.10316,Omsk Oblast,55.35923,85.57334,Kuzbass,53.81918,53.1445,Orenburg Oblast,52.71662,32.48101,Bryansk Oblast,51.89046,44.89743,Saratov Oblast
MAR_24,18,https://www.geoguessr.com/challenge/waaEaMncfHxgpfEz,An Arbitrary Russia,60,NMPZ,54.92983,36.87545,Kaluga Oblast,51.26177,114.89618,Zabaykalskiy (Transbaikal) Kray,52.77572,143.0738,Sakhalin Oblast,49.28602,142.94385,Sakhalin Oblast,56.8658,36.70286,Tver Oblast
MAR_24,19,https://www.geoguessr.com/challenge/K9RglrVMJgEVgnwb,An Arbitrary Russia,60,NMPZ,60.63984704933352,150.5328778983845,Magadan Oblast,54.053218,121.800797,Amur Oblast,51.672084,36.696334,Kursk Oblast,51.54045,85.90364,Altai,46.46352,39.70971,Krasnodar Krai
MAR_24,20,https://www.geoguessr.com/challenge/moFFy1J89AxTkLGX,An Arbitrary Russia,60,NMPZ,56.69736,104.35898,Irkutsk Oblast,47.35499,40.00363,Rostov,52.961484,37.17146,Oryol oblast,56.34035,38.25981,Moscow Oblast,55.36907,159.25851,Kamchatka
